// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Vel_X	Vel_Y	Vel_Z
17276		-2.272534	1.231246	9.353502	0.576883	0.137347	0.003893	-0.805188			
17277		-2.183505	1.122341	9.396936	0.581433	0.136399	0.002838	-0.802074			
17278		-2.128760	1.330701	9.409084	0.585610	0.135752	0.001304	-0.799144			
17279		-2.060535	1.564793	9.420533	0.589567	0.135141	-0.000207	-0.796334			
17280		-2.021341	1.692905	9.419010	0.593573	0.134567	-0.001550	-0.793448			
17281		-1.987233	1.813607	9.425743	0.597723	0.133822	-0.002480	-0.790451			
17282		-1.960370	1.945279	9.494042	0.602170	0.132991	-0.002857	-0.787208			
17283		-1.941926	1.913740	9.423342	0.606986	0.132392	-0.003099	-0.783601			
17284		-1.930720	2.014897	9.388278	0.612324	0.132350	-0.003956	-0.779440			
17285		-1.954562	2.168788	9.405027	0.618196	0.132852	-0.005223	-0.774698			
17286		-1.955953	2.239416	9.355161	0.624665	0.133191	-0.005978	-0.769427			
17287		-1.961153	2.268916	9.261088	0.631723	0.133217	-0.006237	-0.763636			
17288		-1.910855	2.130867	9.249333	0.639249	0.133013	-0.005712	-0.757387			
17289		-1.884826	2.019381	9.280628	0.647088	0.133009	-0.005214	-0.750705			
17290		-1.861325	2.079161	9.207268	0.655220	0.133279	-0.005137	-0.743570			
17291		-1.928916	2.102516	9.264672	0.663612	0.133489	-0.004968	-0.736054			
17292		-1.922815	2.204736	9.302534	0.672227	0.133358	-0.004363	-0.728222			
17293		-1.914924	2.071246	9.275114	0.681087	0.132937	-0.003287	-0.720026			
17294		-1.961080	1.997054	9.294803	0.689928	0.132507	-0.002009	-0.711644			
17295		-1.998749	1.924439	9.410409	0.698706	0.132180	-0.000498	-0.703092			
17296		-1.973768	1.789373	9.371914	0.707430	0.132278	0.000415	-0.694295			
17297		-1.939033	1.857621	9.381118	0.716077	0.132958	0.000788	-0.685241			
17298		-1.985887	2.012032	9.369673	0.724776	0.133106	0.001881	-0.676002			
17299		-2.055227	1.941080	9.505659	0.733236	0.132289	0.004066	-0.666970			
17300		-1.997608	1.655359	9.453953	0.741573	0.131536	0.006172	-0.657822			
17301		-1.925438	1.550238	9.286033	0.749627	0.131519	0.007522	-0.648618			
17302		-1.938056	1.767269	9.456440	0.757299	0.131403	0.009253	-0.639645			
17303		-1.967680	1.638980	9.510426	0.764731	0.131174	0.010866	-0.630763			
17304		-1.914080	1.543127	9.454637	0.771904	0.131688	0.011432	-0.621846			
17305		-1.852717	1.783156	9.418555	0.778908	0.131793	0.012180	-0.613013			
17306		-1.862394	1.857464	9.403483	0.785679	0.130772	0.013792	-0.604497			
17307		-1.873102	1.592980	9.434647	0.792184	0.129432	0.015684	-0.596193			
17308		-1.816738	1.423481	9.406488	0.798329	0.128712	0.017084	-0.588058			
17309		-1.836480	1.543573	9.432798	0.804122	0.128512	0.017908	-0.580131			
17310		-1.834221	1.678359	9.446398	0.809657	0.128321	0.018709	-0.572398			
17311		-1.912499	1.739217	9.551928	0.814958	0.127346	0.020072	-0.564999			
17312		-1.913181	1.632660	9.535652	0.820112	0.125939	0.021322	-0.557764			
17313		-1.879163	1.535922	9.520541	0.825027	0.125071	0.021979	-0.550641			
17314		-1.788684	1.770319	9.557950	0.829785	0.124473	0.022240	-0.543570			
17315		-1.734197	1.868203	9.603746	0.834606	0.123872	0.022357	-0.536273			
17316		-1.732436	1.927204	9.530734	0.839462	0.122843	0.022751	-0.528863			
17317		-1.770459	1.816885	9.517289	0.844351	0.121348	0.023473	-0.521340			
17318		-1.753141	1.717721	9.550738	0.849115	0.120505	0.023713	-0.513731			
17319		-1.743373	1.687199	9.474672	0.853833	0.120210	0.023430	-0.505935			
17320		-1.686449	1.829088	9.454290	0.858463	0.119630	0.023479	-0.498175			
17321		-1.704366	1.816905	9.481952	0.862980	0.118261	0.024283	-0.490601			
17322		-1.717435	1.631435	9.428011	0.867388	0.117213	0.025151	-0.482978			
17323		-1.697835	1.549248	9.382244	0.871622	0.116829	0.025684	-0.475360			
17324		-1.599603	1.767992	9.380082	0.875717	0.116475	0.026296	-0.467826			
17325		-1.584007	1.748495	9.381778	0.879766	0.116034	0.027109	-0.460232			
17326		-1.631753	1.705108	9.481709	0.883771	0.115184	0.028228	-0.452642			
17327		-1.628997	1.623571	9.388264	0.887666	0.113948	0.029525	-0.445189			
17328		-1.600588	1.661885	9.463524	0.891444	0.112857	0.030661	-0.437779			
17329		-1.568550	1.697742	9.450190	0.895185	0.111762	0.031802	-0.430282			
17330		-1.627698	1.666226	9.473066	0.898853	0.111007	0.032673	-0.422698			
17331		-1.590547	1.848241	9.558564	0.902499	0.110177	0.033582	-0.415004			
17332		-1.636883	1.802336	9.569239	0.906130	0.109216	0.034442	-0.407203			
17333		-1.615160	1.802512	9.579590	0.909808	0.107770	0.035425	-0.399224			
17334		-1.606233	1.651864	9.499510	0.913467	0.106424	0.036034	-0.391094			
17335		-1.583637	1.707810	9.512531	0.917090	0.105361	0.036363	-0.382783			
17336		-1.478140	1.707489	9.495941	0.920704	0.104646	0.036725	-0.374172			
17337		-1.579813	1.582538	9.493302	0.924290	0.103571	0.037369	-0.365464			
17338		-1.646229	1.679211	9.522548	0.927769	0.101412	0.038453	-0.357046			
17339		-1.659929	1.423889	9.549676	0.931162	0.098933	0.039516	-0.348694			
17340		-1.528093	1.272913	9.468649	0.934415	0.097483	0.039903	-0.340256			
17341		-1.435347	1.459945	9.452774	0.937562	0.096913	0.039856	-0.331658			
17342		-1.453438	1.529974	9.502982	0.940673	0.095766	0.040166	-0.323032			
17343		-1.505676	1.498875	9.555176	0.943712	0.093585	0.040993	-0.314593			
17344		-1.500534	1.346276	9.547148	0.946603	0.091121	0.041799	-0.306420			
17345		-1.421932	1.241497	9.574570	0.949388	0.089117	0.042510	-0.298183			
17346		-1.402316	1.200220	9.621893	0.952032	0.087303	0.043079	-0.290100			
17347		-1.328224	1.396801	9.635366	0.954575	0.085225	0.043760	-0.282149			
17348		-1.305610	1.204930	9.638245	0.957055	0.083304	0.044414	-0.274105			
17349		-1.341818	1.190391	9.647060	0.959428	0.081968	0.044904	-0.266014			
17350		-1.342730	1.170364	9.569632	0.961680	0.080555	0.045349	-0.258119			
17351		-1.352960	1.207905	9.649723	0.963847	0.078897	0.045901	-0.250333			
17352		-1.291574	1.203459	9.617416	0.965964	0.076880	0.046440	-0.242581			
17353		-1.200868	1.121257	9.542640	0.968014	0.075474	0.046993	-0.234617			
17354		-1.226449	1.047428	9.481495	0.969979	0.074829	0.047656	-0.226431			
17355		-1.295530	1.032629	9.459694	0.971806	0.074912	0.048398	-0.218262			
17356		-1.329534	1.173736	9.526392	0.973496	0.075120	0.049461	-0.210276			
17357		-1.415424	1.150680	9.555862	0.975123	0.074835	0.050577	-0.202427			
17358		-1.391757	1.151896	9.523509	0.976671	0.073716	0.051797	-0.194927			
17359		-1.409148	1.105949	9.598809	0.978159	0.071794	0.053056	-0.187712			
17360		-1.377985	0.958963	9.565832	0.979564	0.070100	0.054027	-0.180617			
17361		-1.271848	0.914000	9.554373	0.980866	0.069366	0.054829	-0.173449			
17362		-1.266011	1.054347	9.557012	0.982085	0.068657	0.055884	-0.166347			
17363		-1.380718	1.093039	9.550863	0.983258	0.066865	0.057431	-0.159483			
17364		-1.401248	0.916266	9.507558	0.984354	0.064865	0.059091	-0.152801			
17365		-1.437207	0.783579	9.562757	0.985331	0.064078	0.060271	-0.146230			
17366		-1.361447	1.014772	9.559329	0.986221	0.064554	0.060982	-0.139577			
17367		-1.368127	1.133537	9.532275	0.987114	0.064265	0.061979	-0.132797			
17368		-1.459510	1.292480	9.610243	0.988030	0.062217	0.063302	-0.126166			
17369		-1.488693	1.011786	9.541855	0.988952	0.058852	0.064762	-0.119651			
17370		-1.423091	0.744166	9.443810	0.989790	0.056334	0.066088	-0.113028			
17371		-1.438069	0.733180	9.410252	0.990505	0.055193	0.067457	-0.106318			
17372		-1.480225	0.924532	9.426341	0.991131	0.054392	0.069068	-0.099647			
17373		-1.583031	0.869371	9.468260	0.991700	0.052836	0.071024	-0.093245			
17374		-1.629793	0.826035	9.481153	0.992210	0.051235	0.072782	-0.087166			
