// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Vel_X	Vel_Y	Vel_Z
17259		1.240436	0.301768	9.665049	0.997075	0.014295	-0.063439	0.040157			
17260		1.219237	0.305938	9.630889	0.997104	0.013517	-0.062962	0.040452			
17261		1.208436	0.276402	9.661367	0.997143	0.012485	-0.062345	0.040787			
17262		1.249554	0.236916	9.610789	0.997193	0.011259	-0.061550	0.041133			
17263		1.247820	0.189951	9.637999	0.997257	0.009769	-0.060488	0.041529			
17264		1.209704	0.122002	9.709564	0.997332	0.008172	-0.059249	0.041853			
17265		1.149010	0.096233	9.790246	0.997402	0.006580	-0.057992	0.042213			
17266		1.154215	0.060741	9.797002	0.997470	0.005090	-0.056750	0.042514			
17267		1.156891	0.060978	9.818598	0.997537	0.003742	-0.055385	0.042885			
17268		1.096446	0.031395	9.806726	0.997610	0.002623	-0.053775	0.043305			
17269		1.007653	-0.016539	9.836039	0.997693	0.001650	-0.051933	0.043685			
17270		1.004729	0.025262	9.802531	0.997767	0.000554	-0.050158	0.044106			
17271		1.006465	0.016319	9.801643	0.997839	-0.000644	-0.048278	0.044567			
17272		0.956794	-0.038736	9.702339	0.997917	-0.001718	-0.046107	0.045095			
17273		0.877530	-0.059709	9.661749	0.997992	-0.002792	-0.043745	0.045713			
17274		0.796010	-0.082398	9.660724	0.998052	-0.003931	-0.041587	0.046347			
17275		0.851559	0.007885	9.676879	0.998087	-0.005352	-0.039727	0.047078			
17276		0.850426	-0.019716	9.704617	0.998116	-0.006805	-0.037657	0.047961			
17277		0.665907	-0.119323	9.746365	0.998140	-0.008359	-0.035489	0.048863			
17278		0.643297	-0.258496	9.757952	0.998157	-0.009646	-0.033372	0.049758			
17279		0.600515	-0.318275	9.803746	0.998172	-0.010741	-0.031267	0.050591			
17280		0.544064	-0.371111	9.781544	0.998192	-0.011559	-0.029119	0.051303			
17281		0.502420	-0.348714	9.868636	0.998208	-0.012170	-0.026967	0.052016			
17282		0.519305	-0.258444	9.860239	0.998226	-0.012808	-0.024647	0.052664			
17283		0.413539	-0.284483	9.905504	0.998249	-0.013196	-0.022179	0.053225			
17284		0.399235	-0.369504	9.840591	0.998266	-0.013627	-0.019827	0.053730			
17285		0.324689	-0.390756	9.771560	0.998289	-0.013269	-0.017289	0.054256			
17286		0.363322	-0.313167	9.835780	0.998309	-0.012650	-0.014488	0.054856			
17287		0.236624	-0.233646	9.805496	0.998319	-0.012145	-0.011678	0.055448			
17288		0.106840	-0.230511	9.781718	0.998333	-0.011546	-0.009115	0.055817			
17289		0.160426	-0.265356	9.727261	0.998331	-0.010961	-0.007023	0.056271			
17290		0.154378	-0.278320	9.761252	0.998325	-0.010559	-0.004737	0.056687			
17291		0.022029	-0.338400	9.746423	0.998334	-0.009827	-0.002370	0.056810			
17292		0.133219	-0.286673	9.702689	0.998340	-0.008684	-0.000145	0.056929			
17293		0.023223	-0.232053	9.781070	0.998342	-0.007153	0.002422	0.057055			
17294		-0.109251	-0.016734	10.013083	0.998325	-0.006340	0.004287	0.057342			
17295		-0.168024	-0.056529	9.876772	0.998315	-0.005459	0.005618	0.057495			
17296		-0.119998	-0.174009	9.832596	0.998318	-0.004372	0.007170	0.057368			
17297		-0.368785	-0.097938	9.781014	0.998327	-0.003096	0.008200	0.057153			
17298		-0.130239	-0.026771	9.953203	0.998323	-0.001309	0.008891	0.057192			
17299		-0.135170	0.148621	9.924563	0.998299	-0.000959	0.009986	0.057426			
17300		-0.284420	-0.004191	9.688590	0.998299	0.000358	0.010856	0.057278			
17301		-0.267782	-0.031812	10.053757	0.998287	0.002197	0.011539	0.057315			
17302		-0.288340	0.103282	9.920633	0.998269	0.002786	0.011889	0.057540			
17303		-0.208758	0.026397	9.540082	0.998257	0.004056	0.012237	0.057584			
17304		-0.243643	0.002086	9.690990	0.998245	0.006250	0.012881	0.057467			
17305		-0.270841	0.197001	9.956280	0.998228	0.007854	0.014071	0.057275			
17306		-0.226966	0.255242	9.740511	0.998214	0.008808	0.014916	0.057181			
17307		-0.305864	0.316154	9.766330	0.998195	0.009598	0.015710	0.057167			
17308		-0.284771	0.291632	9.858465	0.998189	0.010187	0.016071	0.057072			
17309		-0.373489	0.216150	9.831514	0.998195	0.009791	0.016749	0.056834			
17310		-0.319516	0.053711	9.691936	0.998196	0.010595	0.017094	0.056573			
17311		-0.271836	0.251313	9.838485	0.998175	0.011668	0.017419	0.056625			
17312		-0.304557	0.309407	9.733900	0.998148	0.012983	0.018060	0.056613			
17313		-0.411493	0.386827	9.740398	0.998123	0.014336	0.018773	0.056499			
17314		-0.446757	0.316506	9.817632	0.998106	0.015511	0.019385	0.056291			
17315		-0.474981	0.353805	9.867936	0.998102	0.016366	0.019631	0.056026			
17316		-0.417735	0.628001	10.021891	0.998105	0.016206	0.019203	0.056176			
17317		-0.393318	0.487282	9.842382	0.998136	0.015061	0.018782	0.056083			
17318		-0.372181	0.208840	9.668321	0.998188	0.014303	0.018230	0.055532			
17319		-0.370649	0.138349	9.878357	0.998210	0.014248	0.017995	0.055226			
17320		-0.301078	0.349121	9.997565	0.998219	0.014515	0.017804	0.055063			
17321		-0.341180	0.450864	9.802532	0.998215	0.014801	0.017733	0.055067			
17322		-0.317043	0.286863	9.655732	0.998215	0.015619	0.017054	0.055061			
17323		-0.308716	0.364561	9.956405	0.998187	0.016588	0.017088	0.055270			
17324		-0.445126	0.526493	9.876697	0.998175	0.016986	0.016907	0.055432			
17325		-0.317845	0.370103	9.620343	0.998170	0.017724	0.016633	0.055364			
17326		-0.199292	0.244684	9.935943	0.998150	0.019047	0.016540	0.055312			
17327		-0.270752	0.510728	9.903106	0.998119	0.019211	0.017007	0.055680			
17328		-0.334766	0.425147	9.570327	0.998081	0.020267	0.017335	0.055880			
17329		-0.399268	0.309560	9.773207	0.998052	0.021764	0.017576	0.055756			
17330		-0.222501	0.393739	9.909839	0.998012	0.023117	0.018213	0.055735			
17331		-0.425604	0.599912	9.586294	0.997948	0.023952	0.018865	0.056298			
17332		-0.340426	0.707737	9.727358	0.997896	0.025396	0.018737	0.056638			
17333		-0.236340	0.638115	9.803787	0.997858	0.026404	0.018485	0.056921			
17334		-0.262518	0.623617	9.851485	0.997833	0.026049	0.018330	0.057570			
17335		-0.449880	0.603577	9.747972	0.997816	0.025480	0.018023	0.058215			
17336		-0.345430	0.463059	9.783916	0.997802	0.025393	0.017460	0.058663			
17337		-0.404608	0.575649	9.962689	0.997780	0.025342	0.016887	0.059233			
17338		-0.137841	0.730177	9.794525	0.997756	0.024682	0.016155	0.060099			
17339		-0.301108	0.466084	9.474215	0.997721	0.023967	0.015846	0.061045			
17340		-0.407055	0.363973	9.753623	0.997679	0.023886	0.015731	0.061797			
17341		-0.327237	0.391491	9.743653	0.997630	0.024355	0.015754	0.062400			
